sütun,mean,std,min,max,median,p1,p99
delta_angle[0]_f124,-1.6932672548823897e-05,0.0015151504233701014,-0.006968715,0.006078938,-3.4081266e-05,-0.0038872967599999997,0.004115921359999999
delta_angle[1]_f124,0.0003436499600782581,0.0007031727851934318,-0.0014756575,0.0036238104,0.00019352444,-0.0009216898964,0.0027499511039999996
delta_angle[2]_f124,0.0001103058737535283,0.001155831399747165,-0.0035373562,0.0038101757,7.645727e-05,-0.002738732476,0.0028488017679999993
delta_velocity[0]_f124,0.0011579923320489509,0.005036917762270114,-0.0134843895,0.017805912,0.0016493448,-0.01102326008,0.01159334911999999
delta_velocity[1]_f124,-0.0003490404862399873,0.004778077487570892,-0.016354546,0.014906619,-0.000616247,-0.011025114499999999,0.011642458679999995
delta_velocity[2]_f124,-0.051658875212525684,0.012825447870523924,-0.115856715,1.4776971e-06,-0.050666902,-0.0904778804,-0.022892878960000012
mag_field[0]_f49,-0.0005306268297972028,0.014034575854648896,-0.053557307,0.05575099,-0.00034581724,-0.03471884096,0.035159051
mag_field[1]_f49,-0.000350390280343293,0.005221496805714435,-0.018315464,0.020400494,4.5642257e-05,-0.013074169719999999,0.011766070079999991
mag_field[2]_f49,0.0005876662167768596,0.021009183729532463,-0.06730232,0.090262026,4.053116e-06,-0.0515533918,0.05525850519999992
indicated_airspeed_m_s_f5,23.87260752320407,2.53463185027878,17.053782,31.07596,23.888416,17.936666,29.59787
baro_alt_meter_f117,-111.00242335410046,25.670998354979265,-164.997,-59.50504,-111.47946,-164.277238,-62.202527360000005
differential_pressure_pa_f15,360.55830371265097,72.48115655312026,153.39868,584.73755,358.81622,209.59424,534.6982119999999
x_f58,226.9126310616656,135.33491046663863,10.953493,447.98907,225.5089,13.3935452,444.9158228
y_f58,61.2632369936173,275.2354795630861,-565.9117,494.13467,87.57086,-540.57144,487.4476472
z_f58,-78.157739813096,21.137128774778656,-122.83424,-38.101486,-74.172,-119.2254364,-42.585826280000006
